img1,img2,label
neutral\joe_biden\000022.jpg,masked\joe_biden_wearing_mask\000003.jpg,1
neutral\bernard_arnault\000023.jpg,masked\bernard_arnault_wearing_mask\000003.jpg,1
neutral\simona_halep\000004.jpg,masked\jimmy_butler_wearing_mask\000002.jpg,0
neutral\elizabeth_warren\000014.jpg,masked\elizabeth_warren_wearing_mask\000001.jpg,1
neutral\patrick_wilson\000036.jpg,sunglasses\patrick_wilson_wearing_sunglasses\000001.jpg,1
neutral\jon_favreau\000019.jpg,sunglasses\jon_favreau_wearing_sunglasses\000005.jpg,1
neutral\patty_murray\000009.jpg,sunglasses\gary_peters_wearing_sunglasses\000002.jpg,0
neutral\alain_delon\000003.jpg,masked\sebastian_vettel_wearing_mask\000006.jpg,0
neutral\petra_kvitova\000002.jpg,masked\iga_swiatek_wearing_mask\000001.jpg,0
neutral\fahrettin_koca\000006.jpg,masked\fahrettin_koca_wearing_mask\000002.jpg,1
neutral\david_alaba\000003.jpg,sunglasses\kylian_mbappe_wearing_sunglasses\000007.jpg,0
neutral\jeff_bridges\000010.jpg,sunglasses\jeff_bridges_wearing_sunglasses\000012.jpg,1
neutral\russell_crowe\000006.jpg,sunglasses\russell_crowe_wearing_sunglasses\000006.jpg,1
neutral\james_mcavoy\000001.jpg,sunglasses\lewis_hamilton_wearing_sunglasses\000002.jpg,0
neutral\lance_stroll\000020.jpg,sunglasses\lance_stroll_wearing_sunglasses\000003.jpg,1
neutral\jayson_tatum\000010.jpg,sunglasses\alain_delon_wearing_sunglasses\000007.jpg,0
neutral\colin_firth\000029.jpg,sunglasses\colin_firth_wearing_sunglasses\000017.jpg,1
neutral\russell_crowe\000008.jpg,masked\daniil_medvedev_wearing_mask\000001.jpg,0
neutral\tom_hiddleston\000003.jpg,masked\cory_booker_wearing_mask\000001.jpg,0
neutral\anthony_mackie\000018.jpg,sunglasses\mel_gibson_wearing_sunglasses\000003.jpg,0
neutral\nicole_kidman\000009.jpg,masked\virgil_van_dijk_wearing_mask\000001.jpg,0
neutral\jennifer_lawrence\000030.jpg,sunglasses\justin_trudeau_wearing_sunglasses\000007.jpg,0
neutral\alain_delon\000004.jpg,sunglasses\manuel_neuer_wearing_sunglasses\000003.jpg,0
neutral\michael_douglas\000006.jpg,sunglasses\bryce_dallas_howard_wearing_sunglasses\000004.jpg,0
neutral\mark_zuckerberg\000023.jpg,masked\mark_zuckerberg_wearing_mask\000001.jpg,1
neutral\joe_biden\000009.jpg,sunglasses\joe_biden_wearing_sunglasses\000007.jpg,1
neutral\novak_djokovic\000018.jpg,sunglasses\charles_leclerc_wearing_sunglasses\000011.jpg,0
neutral\joe_biden\000026.jpg,sunglasses\chris_evans_wearing_sunglasses\000030.jpg,0
neutral\anthony_davis\000017.jpg,masked\anthony_davis_wearing_mask\000001.jpg,1
neutral\donald_trump\000011.jpg,sunglasses\brad_pitt_wearing_sunglasses\000004.jpg,0
neutral\petra_kvitova\000011.jpg,masked\petra_kvitova_wearing_mask\000010.jpg,1
neutral\bruce_willis\000003.jpg,sunglasses\bruce_willis_wearing_sunglasses\000009.jpg,1
neutral\jason_momoa\000020.jpg,sunglasses\jason_momoa_wearing_sunglasses\000013.jpg,1
neutral\lebron_james\000007.jpg,masked\lebron_james_wearing_mask\000001.jpg,1
neutral\edward_norton\000009.jpg,masked\rafael_nadal_wearing_mask\000004.jpg,0
neutral\george_russell\000020.jpg,sunglasses\george_russell_wearing_sunglasses\000012.jpg,1
neutral\george_russell\000025.jpg,sunglasses\george_russell_wearing_sunglasses\000007.jpg,1
neutral\jake_gyllenhaal\000011.jpg,sunglasses\daniel_ricciardo_wearing_sunglasses\000006.jpg,0
neutral\guiseppe_marotta\000001.jpg,masked\guiseppe_marotta_wearing_mask\000001.jpg,1
neutral\robin_williams\000006.jpg,sunglasses\victoria_azarenka_wearing_sunglasses\000001.jpg,0
neutral\manuel_neuer\000015.jpg,sunglasses\tom_hanks_wearing_sunglasses\000006.jpg,0
neutral\gary_peters\000037.jpg,masked\gary_peters_wearing_mask\000004.jpg,1
neutral\russell_crowe\000007.jpg,sunglasses\russell_crowe_wearing_sunglasses\000002.jpg,1
neutral\bill_gates\000019.jpg,masked\bill_gates_wearing_mask\000001.jpg,1
neutral\guiseppe_marotta\000002.jpg,sunglasses\bill_gates_wearing_sunglasses\000002.jpg,0
neutral\zendaya\000030.jpg,sunglasses\zendaya_wearing_sunglasses\000006.jpg,1
neutral\brie_larson\000036.jpg,sunglasses\brie_larson_wearing_sunglasses\000024.jpg,1
neutral\gary_peters\000026.jpg,sunglasses\tom_cruise_wearing_sunglasses\000010.jpg,0
neutral\russell_crowe\000004.jpg,masked\fernando_alonso_wearing_mask\000001.jpg,0
neutral\ben_mendelsohn\000062.jpg,sunglasses\ben_mendelsohn_wearing_sunglasses\000006.jpg,1
neutral\russell_crowe\000005.jpg,masked\naomi_osaka_wearing_mask\000004.jpg,0
neutral\james_mcavoy\000044.jpg,sunglasses\colin_farell_wearing_sunglasses\000019.jpg,0
neutral\al_pacino\000011.jpg,sunglasses\nicolas_cage_wearing_sunglasses\000016.jpg,0
neutral\tom_hardy\000014.jpg,masked\amy_klobuchar_wearing_mask\000004.jpg,0
neutral\alain_delon\000010.jpg,sunglasses\alain_delon_wearing_sunglasses\000001.jpg,1
neutral\roger_federer\000032.jpg,masked\roger_federer_wearing_mask\000001.jpg,1
neutral\jon_favreau\000054.jpg,sunglasses\jeff_bridges_wearing_sunglasses\000002.jpg,0
neutral\lionel_messi\000021.jpg,masked\chuck_schumer_wearing_mask\000004.jpg,0
neutral\kylian_mbappe\000021.jpg,sunglasses\kylian_mbappe_wearing_sunglasses\000006.jpg,1
neutral\christian_bale\000017.jpg,masked\virgil_van_dijk_wearing_mask\000001.jpg,0
neutral\joe_biden\000016.jpg,masked\joe_biden_wearing_mask\000002.jpg,1
neutral\tom_cruise\000016.jpg,sunglasses\tom_cruise_wearing_sunglasses\000016.jpg,1
neutral\bernard_arnault\000026.jpg,sunglasses\colin_farell_wearing_sunglasses\000001.jpg,0
neutral\christian_bale\000021.jpg,sunglasses\serena_williams_wearing_sunglasses\000007.jpg,0
neutral\bernard_arnault\000012.jpg,masked\chuck_schumer_wearing_mask\000012.jpg,0
neutral\jennifer_lawrence\000014.jpg,masked\lance_stroll_wearing_mask\000005.jpg,0
neutral\zlatan_ibrahimovic\000002.jpg,sunglasses\jon_favreau_wearing_sunglasses\000001.jpg,0
neutral\alexander_zverev\000019.jpg,sunglasses\alexander_zverev_wearing_sunglasses\000001.jpg,1
neutral\nikita_mazepin\000003.jpg,sunglasses\paul_bettany_wearing_sunglasses\000003.jpg,0
neutral\benedict_cumberbatch\000040.jpg,sunglasses\benedict_cumberbatch_wearing_sunglasses\000025.jpg,1
neutral\kamala_haris\000006.jpg,masked\kamala_haris_wearing_mask\000015.jpg,1
neutral\bruno_fernandes\000022.jpg,sunglasses\jimmy_butler_wearing_sunglasses\000006.jpg,0
neutral\thomas_muller\000025.jpg,sunglasses\thomas_muller_wearing_sunglasses\000001.jpg,1
neutral\dwayne_johnson\000002.jpg,sunglasses\stefanos_tsitsipas_wearing_sunglasses\000002.jpg,0
neutral\emilia_clarke\000029.jpg,sunglasses\emilia_clarke_wearing_sunglasses\000031.jpg,1
neutral\pom_klementieff\000010.jpg,masked\bernard_arnault_wearing_mask\000001.jpg,0
neutral\josh_brolin\000018.jpg,sunglasses\benedict_cumberbatch_wearing_sunglasses\000024.jpg,0
neutral\donnie_yen\000002.jpg,sunglasses\donnie_yen_wearing_sunglasses\000028.jpg,1
neutral\charles_leclerc\000030.jpg,masked\charles_leclerc_wearing_mask\000002.jpg,1
neutral\leonardo_dicaprio\000023.jpg,sunglasses\leonardo_dicaprio_wearing_sunglasses\000003.jpg,1
neutral\anthony_mackie\000023.jpg,masked\mark_zuckerberg_wearing_mask\000001.jpg,0
neutral\patrick_wilson\000059.jpg,sunglasses\jason_momoa_wearing_sunglasses\000019.jpg,0
neutral\rami_malek\000018.jpg,masked\simona_halep_wearing_mask\000001.jpg,0
neutral\jamie_lee_curtis\000030.jpg,sunglasses\jamie_lee_curtis_wearing_sunglasses\000010.jpg,1
neutral\tom_hanks\000016.jpg,sunglasses\tom_hanks_wearing_sunglasses\000010.jpg,1
neutral\fernando_alonso\000023.jpg,masked\fernando_alonso_wearing_mask\000001.jpg,1
neutral\james_mcavoy\000024.jpg,sunglasses\stefanos_tsitsipas_wearing_sunglasses\000002.jpg,0
neutral\gary_peters\000004.jpg,sunglasses\gary_peters_wearing_sunglasses\000001.jpg,1
neutral\donnie_yen\000022.jpg,masked\joshua_kimmich_wearing_mask\000003.jpg,0
neutral\debbie_stabenow\000001.jpg,masked\debbie_stabenow_wearing_mask\000001.jpg,1
